B0BF1A	Acid Green
7CB9E8	Aero
C9FFE5	Aero Blue
B284BE	African Violet
5D8AA8	Raf Air Force Blue
00308F	Usaf Air Force Blue
72A0C1	Air Superiority Blue
AF002A	Alabama Crimson
F0F8FF	Alice Blue
E32636	Alizarin Crimson
C46210	Alloy Orange
EFDECD	Almond
E52B50	Amaranth
AB274F	Amaranth Deep Purple
F19CBB	Amaranth Pink
AB274F	Amaranth Purple
D3212D	Amaranth Red
3B7A57	Amazon
FFBF00	Amber
FF7E00	Sae/Ece Amber
FF033E	American Rose
9966CC	Amethyst
A4C639	Android Green
F2F3F4	Anti-Flash White
CD9575	Antique Brass
665D1E	Antique Bronze
915C83	Antique Fuchsia
841B2D	Antique Ruby
FAEBD7	Antique White
008000	English Ao
8DB600	Apple Green
FBCEB1	Apricot
00FFFF	Aqua
7FFFD4	Aquamarine
D0FF14	Arctic Lime
4B5320	Army Green
3B444B	Arsenic
8F9779	Artichoke
E9D66B	Arylide Yellow
B2BEB5	Ash Grey
87A96B	Asparagus
FF9966	Atomic Tangerine
A52A2A	Auburn
FDEE00	Aureolin
6E7F80	Aurometalsaurus
568203	Avocado
007FFF	Azure
F0FFFF	Web Color Azure
F0FFFF	Azure Mist
DBE9F4	Azureish White
89CFF0	Baby Blue
A1CAF1	Baby Blue Eyes
F4C2C2	Baby Pink
FEFEFA	Baby Powder
FF91AF	Baker-Miller Pink
21ABCD	Ball Blue
FAE7B5	Banana Mania
FFE135	Banana Yellow
006A4E	Bangladesh Green
E0218A	Barbie Pink
7C0A02	Barn Red
848482	Battleship Grey
98777B	Bazaar
BCD4E6	Beau Blue
9F8170	Beaver
F5F5DC	Beige
2E5894	B'dazzled Blue
9C2542	Big Dip O’ruby
FFE4C4	Bisque
3D2B1F	Bistre
967117	Bistre Brown
CAE00D	Bitter Lemon
BFFF00	Bitter Lime
FE6F5E	Bittersweet
BF4F51	Bittersweet Shimmer
000000	Black
3D0C02	Black Bean
253529	Black Leather Jacket
3B3C36	Black Olive
FFEBCD	Blanched Almond
A57164	Blast-Off Bronze
318CE7	Bleu De France
ACE5EE	Blizzard Blue
FAF0BE	Blond
0000FF	Blue
1F75FE	Crayola Blue
0093AF	Munsell Blue
0087BD	Ncs Blue
0018A8	Pantone Blue
333399	Pigment Blue
0247FE	Ryb Blue
A2A2D0	Blue Bell
6699CC	Blue-Gray
0D98BA	Blue-Green
5E93A1	Blue Lagoon
553592	Blue-Magenta Violet
126180	Blue Sapphire
8A2BE2	Blue-Violet
5072A7	Blue Yonder
4F86F7	Blueberry
1C1CF0	Bluebonnet
DE5D83	Blush
79443B	Bole
0095B6	Bondi Blue
E3DAC9	Bone
CC0000	Boston University Red
006A4E	Bottle Green
873260	Boysenberry
0070FF	Brandeis Blue
B5A642	Brass
CB4154	Brick Red
1DACD6	Bright Cerulean
66FF00	Bright Green
BF94E4	Bright Lavender
D891EF	Bright Lilac
C32148	Bright Maroon
1974D2	Bright Navy Blue
FF007F	Bright Pink
08E8DE	Bright Turquoise
D19FE8	Bright Ube
3399FF	Brilliant Azure
F4BBFF	Brilliant Lavender
FF55A3	Brilliant Rose
FB607F	Brink Pink
004225	British Racing Green
CD7F32	Bronze
737000	Bronze Yellow
964B00	Traditional Brown
A52A2A	Web Brown
6B4423	Brown-Nose
CC9966	Brown Yellow
1B4D3E	Brunswick Green
FFC1CC	Bubble Gum
E7FEFF	Bubbles
F0DC82	Buff
7BB661	Bud Green
480607	Bulgarian Rose
800020	Burgundy
DEB887	Burlywood
CC5500	Burnt Orange
E97451	Burnt Sienna
8A3324	Burnt Umber
BD33A4	Byzantine
702963	Byzantium
536872	Cadet
5F9EA0	Cadet Blue
91A3B0	Cadet Grey
006B3C	Cadmium Green
ED872D	Cadmium Orange
E30022	Cadmium Red
FFF600	Cadmium Yellow
A67B5B	Café Au Lait
4B3621	Café Noir
1E4D2B	Cal Poly Green
A3C1AD	Cambridge Blue
C19A6B	Camel
EFBBCC	Cameo Pink
78866B	Camouflage Green
FFEF00	Canary Yellow
FF0800	Candy Apple Red
E4717A	Candy Pink
00BFFF	Capri
592720	Caput Mortuum
C41E3A	Cardinal
00CC99	Caribbean Green
960018	Carmine
D70040	M&P Carmine
EB4C42	Carmine Pink
FF0038	Carmine Red
FFA6C9	Carnation Pink
B31B1B	Carnelian
56A0D3	Carolina Blue
ED9121	Carrot Orange
00563F	Castleton Green
062A78	Catalina Blue
703642	Catawba
C95A49	Cedar Chest
92A1CF	Ceil
ACE1AF	Celadon
007BA7	Celadon Blue
2F847C	Celadon Green
